Lname,Fname,Alias,Gender,Age,Color,Day,Month,Year,City,County,State,Children,Literate,Armed,Transportation,Enslaver,Reward,Long,Lat
Redick,Willis,null,M,32,B,13,Dec,1853,Portsmouth,Norfolk,VA,null,null,null,null,S.J. Wilson,null,-76.29771,36.83273
Davis,Jane,null,F,60-70,null,null,null,1857,Eastern Shore,null,MD,null,null,null,Foot,Roger McZant,null,-80.1356,25.9337
Bradley,Richard,null,M,27,null,1,June,1855,Richmond,Henrico,VA,null,null,null,Schooner,Samuel Ball,null,-77.43367,37.54068
Johnson,Eliza Jane,null,F,23,B,null,null,1857,Georgetown,Sussex,DE,null,null,null,null,Sally Siser,null,-75.38674,38.69072
Stanly,null,null,F,null,null,17,Oct,1857,Cambridge,Dorchester,MD,null,null,null,Foot,Samuel Count,null,-76.07806,38.56312
Stanly,Caroline,null,F,null,null,17,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,Samuel Count,null,-76.07806,38.56312
Stanly,John,null,M,null,null,17,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,Samuel Count,null,-76.07806,38.56312
null,Perry,null,M,25,B,20,Sept,1856,Mount Airy,Carroll,MD,null,null,null,null,Robert Dade,"250 in state, 500 out",-77.15479,39.37648
Stanly,Josiah,null,M,null,null,17,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,Samuel Count,null,-76.07806,38.56312
Johnson,William,null,M,null,null,29,Jul,1855,null,Dorchester,MD,null,null,null,null,Samuel Harrington,null,0,0
Stanly,Miller,null,M,null,null,17,Oct,1857,Cambridge,Dorchester,MD,X,null,null,Foot,Samuel Count,null,-76.07806,38.56312
Winston,Joe,null,M,23,B,6,Jun,1857,Richmond,Henrico,VA,null,null,null,Steamer,Samuel Ellis,200 in State/500 Out,-77.43367,37.54068
Lewis,George,null,M,40,null,null,null,1858,null,Sussex,DE,null,null,null,null,Samuel Laws,null,0,0
null,Charles,null,M,22,B,20,Sept,1856,Mount Airy,Carroll,MD,null,null,null,null,Robert Dade,"250 in state, 100 out",-77.15479,39.37648
Johnson,Anna,null,F,24,B,null,null,1857,Cambridge,Dorchester,MD,null,null,null,Foot,Samuel Harrington,null,-76.07806,38.56312
Handy,James Edward,Daniel Canon,M,26,null,25,May,1854,Seaford,Sussex,DE,null,null,null,null,Samuel Lewis,null,-75.60905,38.64374
Hodges,Henry,null,M,23,null,null,Jun,1855,Plymouth,Washington,NC,null,null,null,null,Samuel Simmons,null,-76.74956,35.86629
Nixon,Isaiah,null,M,22,B,null,Jun,1855,Plymouth,Washington,NC,null,null,null,null,Samuel Simmons,null,-76.74956,35.86629
Cobb,Lewis,null,M,null,M,null,null,1856,Richmond,Henrico,VA,null,X,null,null,Samuel Myers,null,-77.43367,37.54068
Viney,Susan,null,F,35,B,24,Oct,1857,Cambridge,Dorchester,MD,null,null,null,Foot,Samuel Pattison,null,-76.07806,38.56312
Baddums,Matthew,null,M,23,null,21,Jul,1856,Plymouth,Washington,NC,null,null,null,Schooner,Samuel Simmons,null,-76.74956,35.86629
Robinson,George,null,M,21,B,null,null,1857,Elkton,Cecil,MD,null,null,null,null,Samuel Smith,null,-75.83041,39.60923
Bodams,Matthew,null,M,23,B,null,Jul,1856,Plymouth,Washington,NC,null,null,null,Schooner,Samuel Simmons,null,-76.74956,35.86629
Shepherd,Perry,Richard Reed,M,null,null,28,Jul,1856,Eastern Shore,null,MD,null,null,null,null,Sarah Ann Burgess,null,-80.1356,25.9337
Williams,Elizabeth,null,F,20,B,null,null,1857,Wrightstown,Baltimore,MD,null,null,null,null,Samuel Ward,null,-88.09023,44.33727
Hall,null,null,M,null,null,8,Dec,1855,Ladies Manor,Haverford,MD,null,null,null,Horseback,Sarah Ann McGough,null,-76.95581,39.49316
Hall,Henrietta,null,F,null,null,8,Dec,1855,Ladies Manor,Haverford,MD,X,null,null,Horseback,Sarah Ann McGough,null,-76.95581,39.49316
Shaw,James,null,M,45,B,11,Sept,1858,Marlboro,Prince Georges,MD,null,null,null,null,Sarah Ann Talburtt,null,-76.74969,38.81595
Francis,Elizabeth,Ellen Saunders,F,22,M,null,Oct,1854,Norfolk,Norfolk,VA,null,X,null,null,Sarah Shepperd,null,-76.28514,36.84686
Tilson,Abram,null,M,null,null,null,null,1857,Georget'n Crossroads,Kent,MD,null,null,null,null,Samuel Jarman,null,-88.71499,30.8856
Smallwood,John,null,M,null,null,9,Feb,1857,Ellicott's Mills,Howard,MD,null,null,null,null,Samuel Simons,null,-76.79831,39.26733
Washington,Henry,Anthony Hanley,M,50,null,19,Jun,1855,Norfolk,Norfolk,VA,null,null,null,null,Seth March,null,-76.28514,36.84686
Carpenter,William,null,M,null,null,null,null,1858,null,null,VA,null,null,null,null,Senator Mason,null,0,0
Burton,Handy,null,M,null,null,null,null,1858,null,null,DE,null,null,null,null,Shepherd Burton,null,0,0
Cope,William Thomas,null,M,24,M,null,Jan,1858,Lewes,Sussex,DE,null,null,null,null,Shepherd P. Houston,null,-75.1308,38.78043
Collins,Theophilus,null,M,24,B,null,null,1858,Lewes,Sussex,DE,null,null,null,null,Shepherd P. Houston,null,-75.1308,38.78043
Gooseberry,Thomas Jervis,Ezekiel Chambers,M,17,B,2,Dec,1855,Chestertown,Kent,MD,X,null,null,Railroad,Sarah Maria Perkins,null,-76.06615,39.2131
Jackson,General Andrew,null,M,27,B,null,null,1857,Lewistown,Sussex,DE,null,null,null,null,Shepherd Houston,null,-75.13935,38.77456
Somlor,Washington,James Moore,M,32,null,null,null,1855,Norfolk,Norfolk,VA,null,X,X,Steamer,Smith,null,-76.28514,36.84686
Long,Silas,null,M,27,B,null,null,1857,Cambridge,Dorchester,MD,null,null,X,null,Sheriff Robert Bell,null,-76.07806,38.56312
Anderson,Joshua John,null,M,22,B,null,null,1858,Alexandria,Baltimore,MD,null,null,null,null,Skelton Price,null,-77.04341,38.8046
Johns,Sue Ann,null,F,23,B,null,null,1858,null,Cecil,MD,null,null,null,null,Susan Flinthrew,null,0,0
Rickets,John H.,Ed Henry Waples,M,22,null,8,Sept,1854,Lewistown,Sussex,DE,null,null,null,null,Stephen Houston,null,-75.13935,38.77456
Brown,Rebecca,Helen Parker,F,null,null,6,Apr,1853,Annapolis,Anne Arundel,MD,null,null,null,null,T.C. Howard,null,-76.49014,38.97678
Haines,Edward,null,M,44,B,7,Sept,1857,null,null,VA,null,X,null,null,Tabby & Eliza Fortlock,null,0,0
Haines,Joseph,null,M,20,M,7,Sept,1857,null,null,VA,null,null,null,null,Tabby & Eliza Fortlock,null,0,0
Scott,William,null,M,24,null,null,null,1857,Stafford,Harford,MD,null,null,null,Foot,Susan Fox,null,-76.16547,39.62389
Wodders,Abram,null,M,35,B,null,null,1857,Norfolk,Norfolk,VA,null,null,null,null,Taylor Sewell,50,-76.28514,36.84686
McCoy,Robert,William Donar,M,32,M,1,Oct,1854,Norfolk,Norfolk,VA,null,X,null,null,The Trader Hall,null,-76.28514,36.84686
Gassway,Caroline,null,F,27,B,null,null,1859,Mount Airy,Carroll,MD,null,null,null,null,Summersett Walters,null,-77.15479,39.37648
Nelson,Susan,Susan Bell,F,30,B,22,Jun,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,Thomas Baltimore,null,-76.28514,36.84686
Nelson,William Thomas,null,M,null,null,22,Jun,1855,Norfolk,Norfolk,VA,null,X,null,Schooner,Thomas Baltimore,null,-76.28514,36.84686
Ducket,Benjamin,null,M,23,B,null,null,1856,Bell Mountain,Prince Georges,MD,null,null,null,null,Sicke Perry,null,-117.20711,34.62114
White,Isaac,null,M,22,B,null,Jan,1858,Lewes,Sussex,DE,null,null,null,Skiff,Thomas Carper,null,-75.1308,38.78043
Brooks,Susan,null,F,40,B,23,Apr,1854,Norfolk,Norfolk,VA,null,null,null,Steamer,"Thomas Eckles, Esq.",null,-76.28514,36.84686
Atkins,Susan,null,F,40,B,null,null,1854,Richmond,Henrico,VA,null,null,null,Steamer,"Thomas Eckels, Esq",null,-77.43367,37.54068
Harris,Darius,null,M,21,null,null,null,1858,Dunwoody,Dinwiddle,VA,null,null,null,Foot,Thomas H. Hamlin,null,-84.33625,33.92621
Dotson,Isaac,null,M,19,M,20,Sept,1856,Mount Airy,Carroll,MD,null,null,null,null,Thomas B. Owings,500,-77.15479,39.37648
Sims,Samuel,null,M,30,B,20,Sept,1856,Mount Airy,Carroll,MD,null,null,null,null,Thomas B. Owings,null,-77.15479,39.37648
Mitchell,Josiah,null,M,23,null,2,Feb,1858,null,null,null,null,null,null,null,Thomas J. Hodgson,null,0,0
Wilkinson,Horatio,null,M,44,M,2,Feb,1858,null,null,null,null,null,null,null,Thomas J. Hodgson,null,0,0
Duncans,Benjamin,Geroge Scott,M,25,B,27,Apr,1854,null,null,null,null,null,null,null,Thomas Jeffries,null,0,0
Mackintosh,John,null,M,44,null,4,Aug,1855,Darien,McIntosh,GA,null,null,null,null,Thomas MacIntosh,null,-81.43424,31.37114
Chambers,John,David Green,M,26,B,30,Jan,1856,null,null,MD,null,null,null,Foot,Thomas Murphy,null,0,0
Butler,James,null,M,21,B,4,Jun,1857,Abingdon P.O.,Harford,MD,null,null,null,null,Thomas Johnson,500,-76.27846,39.46367
Butler,Stephen,null,M,22,B,4,Jun,1857,Abingdon P.O.,Harford,MD,null,null,null,null,Thomas Johnson,null,-76.27846,39.46367
Jackson,Andrew,Henry Johnson,M,23,null,29,Dec,1856,Cecil,Cecil,DE,null,null,null,null,Thomas Palmer,null,-80.18365,40.33017
Jones,Lewis,null,M,52,M,null,null,1857,null,null,VA,null,null,null,null,Thomas Sydan,null,0,0
Kell,James,null,M,24,B,4,Jul,1859,Eastern Shore,null,MD,null,null,null,null,Thomas Murphy,null,-80.1356,25.9337
Dixon,Thomas Edward,null,M,18,B,null,null,1859,The Trap,null,DE,null,null,null,null,Thomas W.M. McCracken,null,-75.64965,39.4915
Jones,Robert,null,M,35,B,2,Aug,1855,Petersburg,Dinwiddle,VA,null,X,null,null,Thomas N. Lee,null,-77.40348,37.22815
Johnson,James,William Gilbert,M,35,null,28,Jul,1856,null,Prince Georges,MD,null,null,null,null,Thomas Wallace,null,0,0
Mercer,Verenea,null,F,41,B,1,Jan,1855,Richmond,Henrico,VA,null,null,null,null,Thomas W. Quales,null,-77.43367,37.54068
Aldridge,Bazil,null,M,17,M,null,null,1857,Unionville,Frederick,MD,X,null,null,null,Thorton Pool,null,-77.18593,39.475
Aldridge,Caroline,null,F,23,M,null,null,1857,Unionville,Frederick,MD,null,null,null,null,Thorton Pool,null,-77.18593,39.475
Shidon,James,null,M,null,null,10,Jan,1854,Georgetown,null,DC,null,null,null,null,Thomas Young,null,-77.0628,38.90502
Todd,null,null,F,null,null,null,null,1857,Unionville,Frederick,MD,null,null,null,null,Thorton Pool,null,-77.18593,39.475
Nelson,William,Thomas Russell,M,40,B,22,Jun,1855,Norfolk,Norfolk,VA,null,null,null,Schooner,Turner & White,null,-76.28514,36.84686
Grigby,Mary Elizabeth,Elizabeth Boyer,F,24,B,24,Dec,1855,Alder,Loudon,VA,null,null,X,Horse & Carriage,Townsend McVee,null,-77.07192,38.2743
Foster,Emily,Ann Wood,F,22,null,24,Dec,1855,Alder,Loudon,VA,null,null,X,Horse & Carriage,Townsend McVee,null,-77.07192,38.2743
null,Hanson,null,M,47,B,5,Sept,1857,null,Howard,MD,null,null,null,null,W. Baker & Hammond Dorsey,"100 in state, 200 out",0,0
Jones,Mary,null,F,null,null,23,Mar,1856,Norfolk,Norfolk,VA,X,null,null,Schooner,W.W. Davidson,null,-76.28514,36.84686
Cole,Bill,null,M,37,B,5,Sept,1857,null,Howard,MD,null,null,null,null,W. Baker & Hammond Dorsey,200 in state/300 out,0,0
Jones,Rebecca,null,F,28,M,23,Mar,1856,Norfolk,Norfolk,VA,null,X,null,Schooner,W.W. Davidson,150,-76.28514,36.84686
Jones,Rebecca,null,F,null,null,23,Mar,1856,Norfolk,Norfolk,VA,X,null,null,Schooner,W.W. Davidson,null,-76.28514,36.84686
Jones,Sarah Frances,null,F,null,null,23,Mar,1856,Norfolk,Norfolk,VA,X,null,null,Schooner,W.W. Davidson,null,-76.28514,36.84686
Bailey,Josiah,null,M,29,B,15,Nov,1856,Easton,Talbot,MD,null,null,null,null,W.R. Hughlett,"1500 in state, 2000 out",-76.07475,38.7739
Taylor,William N.,null,M,35,B,2,Jun,1857,Hanover,Hanover,VA,null,null,null,Foot,Walter H. Tyler,100,-77.3712,37.7698
Smallwood,Henry,null,M,36,B,null,null,1859,null,null,MD,null,null,null,null,Washington Bonafont,null,0,0
Loney,Anthony,William Armstead,M,25,B,null,May,1857,Richmond,Henrico,VA,null,null,null,Foot,Warring Talvert,null,-77.43367,37.54068
Graham,George,Henry Washington,M,24,B,16,Jan,1856,Alexandria,Fairfax,VA,null,null,null,Foot,Widow Beverly,null,-77.04341,38.8046
Melvin,Mary Frances,null,F,23,M,null,null,1858,Norfolk,Norfolk,VA,null,null,null,null,Widow Chapman,null,-76.28514,36.84686
Stewart,Robert,Gasberry Robinson,M,30,B,18,Aug,1856,Alder,Loudon,VA,null,X,null,Foot,Widow Hutchinson,null,-77.07192,38.2743
Smith,Betsy,Fanny Jackson,F,27,B,18,Aug,1856,Alder,Loudon,VA,null,null,X,Foot,Widow Hutchinson's daughter,null,-77.07192,38.2743
Bell,Dianna,null,F,30,null,30,Jun,1856,Liberty District,null,null,null,null,null,null,Walker Simpson,null,-85.96665,36.00839
Blow,Anthony,Henry Levison,M,null,B,1,Nov,1854,Norfolk,Norfolk,VA,null,null,null,Steamer,Widow Peters,null,-76.28514,36.84686
Lewis,Laura,null,F,25,M,16,Aug,1855,Louisville,Jefferson,KY,null,null,null,null,Widow Lewis,null,-85.76666,38.25489
Carr,Robert,null,M,null,null,26,Dec,1857,West River,Anne Arundel,MD,null,X,null,null,Thomas J. Richardson,125 in state/300 out,-76.5614,38.8269
Pipkins,Jefferson,David Jones,M,null,null,3,Apr,1853,Baltimore,Baltimore,MD,null,X,null,Foot,Widow Pipkins,null,-76.60926,39.29058
Fields,Henry,null,M,18,M,null,null,null,Port Deposit,null,null,null,null,null,null,Washington Glasby,null,-76.11466,39.60414
Thompson,Charles,null,M,40,null,21,Oct,1854,Richmond,Henrico,VA,null,null,null,null,Widow Thorton,null,-77.43367,37.54068
Harris,Nelson,Charles Wilson,M,27,null,25,Oct,1853,Richmond,Henrico,VA,null,null,null,null,William B. Beale,null,-77.43367,37.54068
Cornish,William,null,M,null,null,5,Sept,1856,Cambridge,Dorchester,MD,null,null,null,null,William B. Dale,null,-76.07806,38.56312
Stewart,Mary Eliza,null,F,8,null,null,null,1857,Washington,null,DC,X,null,null,Foot,William A. Linton,null,-77.03196,38.89037
Johnson,John,null,M,27,M,null,null,1857,Washington,Washington,DC,null,null,null,null,Willam Stone,null,-77.03196,38.89037
Stewart,Harriet,null,F,29,B,null,null,1857,Washington,null,DC,null,null,null,Foot,William A. Linton,null,-77.03196,38.89037
Brister,Nancy,null,F,null,B,null,null,1856,Richmond,Henrico,VA,null,null,null,Boat,William Bears,null,-77.43367,37.54068
Benton,Samuel,null,M,26,B,null,null,1857,null,Kent,null,null,null,null,null,William Campbell,null,0,0
Johns,Robert,null,M,null,B,null,null,1858,null,Cecil,MD,null,null,null,null,William Casey,null,0,0
Butcher,William,William T. Mitchell,M,28,B,29,Nov,1854,Georgetown,Kent,MD,null,null,null,null,William Boyer,null,-76.76368,39.14257
Gaskins,Madison,null,M,null,null,null,null,null,Middleburg,Louden,VA,null,null,null,null,William Burns,300,-77.73618,38.96967
Waters,Jacob,null,M,21,B,null,null,null,Frederick,Frederick,MD,null,null,null,Foot,William Dorsey,null,-77.41203,39.41574
Brown,William,null,M,null,B,20,Dec,1855,null,Prince Georges,MD,null,null,null,null,William Elliott,null,0,0
Washington,George,James Williams,M,19,null,5,Dec,1854,Bellair,Harford,MD,null,null,null,null,William Fernandus,null,-76.34829,39.53594
Grinage,John,null,M,20,B,null,null,1859,Middle Neck,Cecil,MD,null,null,null,null,William Flintham,null,-75.54742,38.39901
Waples,Hansel,null,M,null,null,30,Dec,1853,"Hillsboro, Indian R.",null,null,null,null,null,null,William E. Burton,null,-122.99044,45.52268
Alligood,James,null,M,null,null,null,null,1858,null,Sussex,DE,null,null,null,null,William Gray,null,0,0
Butler,John Alexander,null,M,29,B,null,null,1857,Arlington,Baltimore,MD,null,null,null,null,William Ford,null,-76.68324,39.34857
Bivans,null,null,F,null,null,null,null,1857,null,null,null,X,null,null,null,William H. Hyson,null,0,0
Christian,James H.,null,M,null,M,null,null,null,Richmond,Henrico,VA,null,X,null,null,"William H. Christian, Esq.",null,-77.43367,37.54068
Bivans,null,null,F,null,null,null,null,1857,null,null,null,X,null,null,null,William H. Hyson,null,0,0
Bivans,Belinda,null,F,30,B,null,null,1857,null,null,null,null,null,null,null,William H. Hyson,null,0,0
Unidentified,null,null,null,null,null,null,null,1857,null,null,null,null,null,null,null,William H. Hyson,null,0,0
Unidentified,null,null,null,null,null,null,null,1857,null,null,null,null,null,null,null,William H. Hyson,null,0,0
Unidentified,null,null,null,null,null,null,null,1857,null,null,null,null,null,null,null,William H. Hyson,null,0,0
Emerson,Robert,null,M,19,M,24,Oct,1857,Portsmouth,Norfolk,VA,null,X,null,null,William H. Wilson,null,-76.29771,36.83273
Moody,William Henry,null,M,20,B,null,null,1857,null,null,null,null,null,null,Horse & Carriage,William Henry Hyson,null,0,0
Smith,Robert,null,M,24,null,31,May,1856,Baltimore,Baltimore,MD,null,null,null,Railroad,William H. Normis,null,-76.60926,39.29058
Bush,Samuel,William Olebee,M,33,M,16,Nov,1853,null,null,VA,null,null,null,null,William Hoyle,null,0,0
Green,Murdoch,null,M,null,null,20,Sept,1856,Mount Airy,Carroll,MD,null,null,null,null,William Dorsey,null,-77.15479,39.37648
Moduck,Green,null,M,null,null,20,Sept,1856,Mount Airy,Carroll,MD,null,null,null,null,William Dorsey,null,-77.15479,39.37648
Crummel,James,null,M,null,null,1,Jun,1855,Ladies Manor,Haverford,MD,null,null,null,null,William Hutchins,null,-76.95581,39.49316
Hitchens,C.,null,M,22,null,null,null,1857,Milford,Sussex,DE,null,null,null,Foot,William Hill,null,-75.42854,38.9107
Ballard,George Henry,null,M,26,null,2,Feb,1858,null,null,null,null,X,null,null,William Jackson,null,0,0
Jones,Tolbert,null,M,null,null,1,Jun,1855,Ladies Manor,Haverford,MD,null,null,null,null,William Hutchins,null,-76.95581,39.49316
Jones,Samuel,null,M,null,null,1,Jun,1855,Ladies Manor,Haverford,MD,null,null,null,null,William Hutchins,null,-76.95581,39.49316
Taylor,Jacob,null,M,20,B,11,Apr,1858,Baltimore,Washington,MD,null,null,null,null,William J.B. Parlett,50 in State/200 Out,-76.60926,39.29058
Wells,Jack,null,M,null,B,null,null,1857,null,Cecil,MD,null,null,null,null,William Knight,null,0,0
Johnson,Joseph G.,null,M,23,B,null,null,1860,Baltimore,Baltimore,MD,null,null,null,null,William Jones,null,-76.60926,39.29058
Slater,Samuel,Patterson Smith,M,30,B,3,Apr,1854,Power Bridge,null,MD,null,X,null,null,William Martin,null,-75.77216,38.69428
Gross,Albert,null,M,20,null,null,null,1859,null,Cecil,MD,null,null,null,null,William Price,null,0,0
White,George,null,M,null,null,null,null,1860,null,Cecil,MD,null,null,null,null,William Parker,null,0,0
White,Albert,null,M,null,null,null,null,1860,null,Cecil,MD,null,null,null,null,William Parker,null,0,0
Airs,Sarah,null,F,25,null,26,Oct,1854,null,Worcester,MD,null,null,null,Foot,William Purnell,null,0,0
Crummel,Henry,null,M,25,null,18,Jul,1855,Goughingstown,Baltimore,MD,null,null,null,null,William Roberts,null,0,0
Mahoney,Matilda,null,F,21,null,24,May,1854,Frederick,Frederick,MD,null,null,null,null,William Reigard,null,-77.41203,39.41574
Cromwell,Henry,null,M,25,B,null,Jun,1855,Baltimore,Baltimore,MD,null,null,null,null,William Roberts,null,-76.60926,39.29058
Stewart,James,William Jackson,M,21,null,26,Apr,1854,null,Fauguer,VA,null,null,null,null,William Rose,null,0,0
Grigby,Barnaby,John Boyer,M,26,M,24,Dec,1855,Alder,Loudon,VA,null,null,X,Horse & Carriage,William Rogers,null,-77.07192,38.2743
Chambers,Henry,James Green,M,24,B,30,Jan,1856,Sassafras Neck,Cecil,MD,null,null,null,Foot,William Rybold,null,-75.80258,39.3732
Fall,Samuel,John Henry,M,21,B,null,Jan,1856,null,null,MD,null,null,null,Foot,William Rybold,null,0,0
Johnson,James,null,M,null,null,9,Apr,1856,Deer Creek,Harford,MD,null,null,null,null,William Raulty,null,-76.45885,39.04011
Wright,John,null,M,30,B,null,null,1857,null,Sussex,MD,null,null,null,null,William S. Phelps,null,0,0
Pennington,Jake,null,M,null,null,null,May,1854,Washington,null,DC,null,null,null,null,William Rigard,null,-77.03196,38.89037
Johnson,Harriet,Harriet Gilbert,F,25,null,28,Jul,1856,null,Prince Georges,MD,null,null,null,null,William T. Wood,null,0,0
Scott,Winfield,null,M,null,null,4,Jul,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,William Taylor,null,-76.28514,36.84686
Seymour,Elijah,null,M,34,B,4,Jul,1856,Norfolk,Norfolk,VA,null,null,null,Schooner,William Taylor,null,-76.28514,36.84686
Lee,Lewis,null,M,25,M,null,null,1859,Fairfax,Fairfax,VA,null,null,null,null,William Watkins,null,-77.30905,38.84185
Kelly,Mary,Charlotte Spriggs,F,null,null,7,Apr,1853,Baltimore,Baltimore,MD,null,null,null,null,William Watkins,null,-76.60926,39.29058
Smith,Thomas,null,M,null,null,22,Aug,1857,Washington,null,DC,null,null,null,null,William Rowe,100,-77.03196,38.89037
Henderson,Eliza,null,F,28,B,null,null,1858,Richmond,Henrico,VA,null,null,null,null,William Waverton,null,-77.43367,37.54068
Davis,Gordon,John Canon,M,31,null,2,Nov,1854,Cedar Neck,Charles,MD,null,null,null,null,William Watson,null,-75.94377,39.60846
Brown,Charles,null,M,25,B,null,null,null,Sandy Hook,Harford,MD,null,null,null,Foot,William Wheeling,null,-77.69815,39.32865
Light,Solomon,null,M,23,null,null,null,1857,Cambridge,Dorchester,MD,null,null,null,null,Willis Branick,null,-76.07806,38.56312
Robinson,John,null,M,null,null,1,Jan,1855,"Black Bird, Newcastle",null,MD,null,null,null,null,William Wilson,null,-75.66061,39.37056
Pennington,Peter,null,M,25,B,15,Nov,1856,Easton,Talbot,MD,null,null,null,null,Wright,800,-76.07475,38.7739
Lee,William,null,M,27,M,null,null,1857,null,null,MD,null,null,null,null,Zecharia Merica,null,0,0
Belle,Jim,null,M,26,B,null,null,1857,Upper Marlboro,Prince Georges,MD,null,null,null,null,Zachariah Berry,100,-76.7506,38.81857
Weems,null,null,null,1,null,null,Jul,1857,Washington,null,DC,X,null,null,null,null,null,-77.03196,38.89037
Weems,Arrah,null,F,null,null,null,Jul,1857,Washington,null,DC,null,null,null,null,null,null,-77.03196,38.89037
Gibson,John Wesley,null,M,28,M,22,Nov,1854,Taylor's Mount,null,MD,null,null,null,Foot,William Y. Day,null,-76.51818,39.57469
Matthews,Peter,Samuel Sparrows,M,35,B,7,Oct,1855,Oak Hill,Fairfax,VA,null,null,X,null,William S. Matthews,null,-77.40156,38.9258
Dade,Henry,null,M,25,null,null,null,1857,Washington,Washington,DC,null,null,null,null,null,null,-77.03196,38.89037
Thompson,Hannah Jane,null,F,null,null,12,Dec,1853,null,Sussex,DE,null,null,null,null,null,null,0,0
Dade,John,null,M,20,null,null,null,1857,Washington,Washington,DC,null,X,null,null,null,null,-77.03196,38.89037
Harris,Charlotte,null,F,null,null,20,Jul,1853,Wilmington,New Castle,DE,null,null,null,null,null,null,-75.55084,39.74023
Garrison,Thomas,null,M,9,null,20,July,1853,Wilmington,New Castle,DE,X,null,null,null,null,null,-75.55084,39.74023
Garrison,William H.,null,M,null,null,20,July,1853,Wilmington,New Castle,DE,null,null,null,null,null,null,-75.55084,39.74023
Unidentified,null,null,null,null,null,null,null,1859,Washington,null,DC,X,null,null,null,null,null,-77.03196,38.89037
Unidentified,null,null,null,2,null,null,null,1859,Washington,null,DC,X,null,null,null,null,null,-77.03196,38.89037
Mountain,null,null,null,1,null,null,null,1858,null,null,DE,X,null,null,null,null,null,0,0
Oberne,Henry,null,M,21,B,null,null,1857,Seaford,Sussex,DE,null,null,null,Foot,null,null,-75.60905,38.64374
Mountain,Ann,null,F,22,null,null,null,1858,null,null,DE,null,null,null,null,null,null,0,0
Bolden,Andrew,null,M,18,null,null,null,null,Newark,New Castle,DE,null,null,null,null,null,null,-75.76162,39.67819
Davis,Edward,null,M,null,null,12,Mar,1854,Savannah,Chatham,GA,null,null,null,Steamship,null,null,-81.09119,32.08091
Wilson,Thomas,null,M,null,null,8,Feb,1853,null,null,MD,null,null,null,null,null,null,0,0
Moore,George,null,M,null,null,1,Mar,1853,Cantwells Bridge,null,DE,null,null,null,null,null,null,-75.66132,39.45733
Unidentified,null,null,M,17,null,16,Aug,1853,Eastern Shore,null,MD,X,null,null,null,null,null,-80.1356,25.9337
Unidentified,null,null,M,null,null,6,Jan,1853,null,null,MD,null,null,null,null,null,null,0,0
Unidentified,null,null,M,null,null,6,Jan,1853,null,null,MD,null,null,null,null,null,null,0,0
Purnell,Irvin,null,M,null,null,31,Jan,1853,Eastern Shore,null,MD,null,null,null,null,null,null,-80.1356,25.9337
Houston,Maria Jane,null,F,21,B,null,Aug,1855,Cantwell's Bridge,New Castle,DE,null,null,null,null,null,null,-75.66132,39.45733
Thompson,null,null,null,null,null,22,Jul,1853,Baltimore,Baltimore,MD,X,null,null,null,null,null,-76.60926,39.29058
Thompson,Elizabeth,null,F,null,null,22,Jul,1853,Baltimore,Baltimore,MD,null,null,null,null,null,null,-76.60926,39.29058
Hamlet,Mark,Thomas Goff,M,null,null,27,Oct,1853,Retirement,null,MD,null,null,null,null,null,null,0,0
Scott,John,Levis Duncans,M,22,null,3,Oct,1853,null,Haverford,MD,null,null,null,null,null,null,0,0
Gibbs,null,null,M,null,null,31,Mar,1853,Greensbury,null,MD,X,null,null,null,null,null,-77.56783,39.6842
Gibbs,null,null,M,null,null,31,Mar,1853,Greensbury,null,MD,X,null,null,null,null,null,-77.56783,39.6842
Brown,John W.,null,M,null,null,10,Sept,1853,Baltimore,Baltimore,MD,null,null,null,null,null,null,-76.60926,39.29058
Gibbs,James,null,M,null,null,31,Mar,1853,Greensbury,null,MD,null,null,null,null,null,null,-77.56783,39.6842
Albert,James,null,M,null,null,null,null,1853,Eastern Shore,null,MD,null,null,null,null,null,null,-80.1356,25.9337
Walters,Mary,null,F,18,null,26,Jul,1854,null,null,MD,null,null,null,null,null,null,0,0
Unidentified,null,null,F,null,null,24,Aug,1854,Baltimore,Baltimore,MD,null,null,null,null,null,null,-76.60926,39.29058
Spencer,John,null,M,null,null,null,null,1853,Eastern Shore,null,MD,null,null,null,Foot,null,null,-80.1356,25.9337
Spencer,William,null,M,null,null,null,null,1853,Eastern Shore,null,MD,null,null,null,Foot,null,null,-80.1356,25.9337
Pembrooke,Jacob,null,M,19,null,24,May,1854,Sharpsburg,Washington,MD,null,null,null,null,null,null,-77.74644,39.45885
Belt,Robert,Charles Williams,M,29,null,15,Nov,1854,Baltimore,Baltimore,MD,null,null,null,null,null,null,-76.60926,39.29058
Pembrooke,Robert,null,M,17,null,24,May,1854,Sharpsburg,Washington,MD,X,null,null,null,null,null,-77.74644,39.45885
Pembrooke,Stephen,null,M,45,null,24,May,1854,Sharpsburg,Washington,MD,null,null,null,null,null,null,-77.74644,39.45885
Cale,Ellen,Sarah Johnson,F,18,null,15,Nov,1854,Baltimore,Baltimore,MD,null,null,null,null,null,null,-76.60926,39.29058
